"connector_group_id","description","lucide_icon","name","slug"
"f4c68d34-61ed-4cf7-88a9-8fd4e96a7489","""Integrate with financial tools for invoicing, transactions, and reporting""","lucide-wallet","Finance & Accounting","finance_and_accounting"
"dc065d66-9e3d-42ad-a917-f9cf4863c9d5","Integrate enterprise resource planning and operations tools","lucide-building-2","ERP & Business Operations","erp_and_business_operations"
"0f63f19e-8b34-4fe0-b004-f68fdd1694c4","General-purpose or custom integrations via APIs","lucide-code","Developer Tools & APIs","developer_tools_and_apis"
"ef3c8fe4-2d84-43e4-8100-d445bfdb8484","Collect insights through form or survey platforms","lucide-list-checks","Survey & Forms","survey_and_forms"
"1c3e1eeb-1c58-4f68-9c77-f5e34c3cb0ae","""Connect your online store to synchronize orders, products, and customers""","lucide-shopping-cart","E-commerce Platforms","e_commerce_platforms"
"b5df7c31-714a-49ec-98a5-6a00a6f53f2a","Connect to customer relationship management platforms","lucide-handshake","CRM Systems","crm_systems"
"7123b91d-3f5e-4893-8b41-327c93a8c791","Connect to cloud storage platforms","lucide-cloud","Cloud Storage Platforms","cloud_storage_platforms"
"b228ca0f-7a60-4f68-996f-24015493db1a","Connect to social networks for insights and automation","lucide-globe","Social Media & Insights","social_media_and_insights"
"2e6d93c2-3f63-43e2-b7c4-13fdca2ccfea","Connect email marketing and communication services","lucide-mail","Email & Messaging","email_and_messaging"
"92d31a2c-54f4-4382-a0b0-4b3c3d05fa77","Connect HR and employee engagement platforms","lucide-users","Human Resources & Talent","human_resources_and_talent"
"788ad130-6f1d-49e3-baae-21b8785c12a7","Connect your helpdesk and support platforms","lucide-headset","Customer Support Tools","customer_support_tools"
"3e5df540-1c3b-4d4a-bb53-d2d9a2b3df0a","Connect to your data warehouses and databases","lucide-database","Databases","databases"
"e9798b4f-312a-4f88-b3ff-9ccf74f64855","Integrate with cloud data warehouses","lucide-server","Data Warehousing","data_warehousing"
"547bdcfa-c8a4-4128-a57e-3ffb0c79006e","Connect to digital advertising platforms for campaign performance and metrics","lucide-megaphone","Advertising Networks","advertising_networks"
"ac159e1f-e54d-41cb-9c13-9f5054c78e25","Connect to your analytics and tracking platforms","lucide-activity","Analytics Platforms","analytics_platforms"